GENE               CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P
SORBI_3001G080500    1   6197541   6248780      2       2  3557      0.98921      0.16128
SORBI_3001G080600    1   6205021   6256959      2       2  3557      0.98921      0.16128
SORBI_3001G080700    1   6208845   6266226      2       2  3557      0.98921      0.16128
SORBI_3001G080800    1   6217009   6272828      2       2  3557      0.98921      0.16128
SORBI_3001G423400    1  70353503  70406544      1       1  3557      0.13927      0.44462
SORBI_3001G423500    1  70357743  70408231      1       1  3557      0.13927      0.44462
SORBI_3001G423600    1  70364355  70415794      1       1  3557      0.13927      0.44462
SORBI_3001G423633    1  70367458  70418900      1       1  3557      0.13927      0.44462
SORBI_3001G423666    1  70371065  70423139      1       1  3557      0.13927      0.44462
SORBI_3001G423700    1  70373796  70431291      1       1  3557      0.13927      0.44462
SORBI_3001G423800    1  70384884  70438075      1       1  3557      0.13927      0.44462
SORBI_3001G423900    1  70394204  70445242      1       1  3557      0.13927      0.44462
SORBI_3001G424000    1  70396305  70451568      1       1  3557      0.13927      0.44462
SORBI_3001G424066    1  70401635  70453089      1       1  3557      0.13927      0.44462
SORBI_3002G062300    2   5997907   6051349      1       1  3557       1.3065     0.095685
SORBI_3002G062350    2   6002220   6054318      1       1  3557       1.3065     0.095685
SORBI_3002G062400    2   6008669   6060368      1       1  3557       1.3065     0.095685
SORBI_3002G062500    2   6010846   6068359      1       1  3557       1.3065     0.095685
SORBI_3002G062600    2   6018453   6074201      1       1  3557       1.3065     0.095685
SORBI_3002G062700    2   6034206   6091748      1       1  3557       1.3065     0.095685
SORBI_3002G062800    2   6043116   6095352      1       1  3557       1.3065     0.095685
SORBI_3002G141900    2  23079498  23181546      1       1  3557      -1.9826      0.97629
SORBI_3003G015600    3   1391907   1448739      1       1  3557      0.65001      0.25784
SORBI_3003G015700    3   1401081   1454733      1       1  3557      0.65001      0.25784
SORBI_3003G015800    3   1405662   1461632      1       1  3557      0.65001      0.25784
SORBI_3003G015900    3   1406830   1464346      1       1  3557      0.65001      0.25784
SORBI_3003G015950    3   1422400   1473967      1       1  3557      0.65001      0.25784
SORBI_3003G016000    3   1426110   1477311      1       1  3557      0.65001      0.25784
SORBI_3003G016100    3   1431327   1482479      1       1  3557      0.65001      0.25784
SORBI_3003G016200    3   1433784   1486845      1       1  3557      0.65001      0.25784
SORBI_3003G029000    3   2521311   2572722      1       1  3557    -0.061238      0.52442
SORBI_3003G029100    3   2523860   2588326      1       1  3557    -0.061238      0.52442
SORBI_3003G029150    3   2527909   2578502      1       1  3557    -0.061238      0.52442
SORBI_3003G029200    3   2545016   2596927      1       1  3557    -0.061238      0.52442
SORBI_3003G029300    3   2548709   2600075      1       1  3557    -0.061238      0.52442
SORBI_3003G029350    3   2559978   2610649      1       1  3557    -0.061238      0.52442
SORBI_3003G029400    3   2564706   2615497      1       1  3557    -0.061238      0.52442
SORBI_3003G029500    3   2570830   2624790      1       1  3557    -0.061238      0.52442
SORBI_3004G085800    4   7096291   7148548      1       1  3557     -0.49037      0.68806
SORBI_3004G085900    4   7098717   7154228      1       1  3557     -0.49037      0.68806
SORBI_3004G086000    4   7107525   7161914      1       1  3557     -0.49037      0.68806
SORBI_3004G086100    4   7119502   7171979      1       1  3557     -0.49037      0.68806
SORBI_3004G086150    4   7125982   7179562      1       1  3557     -0.49037      0.68806
SORBI_3004G086200    4   7130714   7191856      1       1  3557     -0.49037      0.68806
SORBI_3004G113100    4  11124537  11180410      1       1  3557       2.6625    0.0038785
SORBI_3004G113201    4  11137222  11189414      1       1  3557       2.6625    0.0038785
SORBI_3004G113300    4  11147980  11210501      1       1  3557       2.6625    0.0038785
SORBI_3004G113400    4  11161462  11223280      1       1  3557       2.6625    0.0038785
SORBI_3004G134900    4  25773505  25838769      1       1  3557        -1.11       0.8665
SORBI_3005G100250    5  16660135  16712758      1       1  3557      0.29975      0.38218
SORBI_3005G100300    5  16685592  16739500      1       1  3557      0.29975      0.38218
SORBI_3005G110499    5  33158891  33217725      1       1  3557      -1.2874      0.90102
SORBI_3007G047300    7   4696073   4749503      1       1  3557       1.4136     0.078738
SORBI_3007G047400    7   4720530   4782815      1       1  3557       1.4136     0.078738
SORBI_3007G047450    7   4728296   4779873      1       1  3557       1.4136     0.078738
SORBI_3007G047500    7   4736522   4788508      1       1  3557       1.4136     0.078738
SORBI_3007G047600    7   4742552   4798462      1       1  3557       1.4136     0.078738
SORBI_3009G095100    9  26551131  26603299      1       1  3557     -0.34687      0.63565
SORBI_3009G095200    9  26557129  26608011      1       1  3557     -0.34687      0.63565
SORBI_3009G095300    9  26566015  26617055      1       1  3557     -0.34687      0.63565
SORBI_3010G209400   10  55268227  55329915      1       1  3557      0.43366      0.33227
SORBI_3010G209501   10  55288400  55348792      1       1  3557      0.43366      0.33227
SORBI_3010G209600   10  55304808  55359817      1       1  3557      0.43366      0.33227
SORBI_3010G209700   10  55317909  55372788      1       1  3557      0.43366      0.33227
