gene_id	chr	start	end	length
FBgn0031208	2L	7529	9484	1956
FBgn0002121	2L	9839	21376	11538
FBgn0031209	2L	21823	25155	3333
FBgn0263584	2L	21952	24237	2286
FBgn0051973	2L	25402	65404	40003
FBgn0267987	2L	54817	55767	951
FBgn0266878	2L	65999	66242	244
FBgn0266879	2L	66318	66524	207
FBgn0067779	2L	66482	71390	4909
FBgn0266322	2L	71039	73836	2798
FBgn0031213	2L	71757	76211	4455
FBgn0031214	2L	76348	77783	1436
FBgn0002931	2L	82421	87387	4967
FBgn0031216	2L	94739	102086	7348
FBgn0031217	2L	102380	104142	1763
FBgn0026787	2L	103962	106732	2771
FBgn0005278	2L	106903	114432	7530
FBgn0031228	2L	114726	156030	41305
FBgn0031219	2L	115365	116488	1124
FBgn0031220	2L	116970	121754	4785
FBgn0288229	2L	122624	130791	8168
FBgn0266304	2L	122837	124031	1195
FBgn0001142	2L	132077	134472	2396
FBgn0265074	2L	135402	136128	727
FBgn0265075	2L	136144	136701	558
FBgn0051975	2L	138384	140992	2609
FBgn0051976	2L	138384	140992	2609
FBgn0051974	2L	141077	143091	2015
FBgn0031224	2L	143323	144227	905
FBgn0259818	2L	144231	153300	9070
FBgn0031227	2L	153539	155305	1767
FBgn0031229	2L	156029	157666	1638
FBgn0053635	2L	157836	158664	829
FBgn0016977	2L	159032	203397	44366
FBgn0031231	2L	203779	204782	1004
FBgn0031232	2L	204743	207297	2555
FBgn0031233	2L	207179	210725	3547
FBgn0266557	2L	210735	250823	40089
FBgn0265151	2L	219651	220050	400
FBgn0265153	2L	223519	224708	1190
FBgn0265152	2L	228037	228588	552
FBgn0263465	2L	232170	232245	76
FBgn0031235	2L	232487	234208	1722
FBgn0262252	2L	243035	243141	107
FBgn0265149	2L	248909	249812	904
FBgn0283652	2L	251039	252373	1335
FBgn0031238	2L	252589	271744	19156
FBgn0031239	2L	259949	267505	7557
FBgn0265150	2L	262203	263003	801
FBgn0031240	2L	269088	271626	2539
FBgn0086912	2L	271912	273715	1804
FBgn0086856	2L	273836	274766	931
FBgn0086855	2L	274740	278234	3495
FBgn0003444	2L	277582	282167	4586
FBgn0031244	2L	281670	283269	1600
FBgn0031245	2L	283385	291795	8411
