FBgn	symbol	CG_alias	chr	start	end
FBgn0031208	CR11023	CG11023	2L	7529	9484
FBgn0002121	l(2)gl	CG2671	2L	9839	21376
FBgn0031209	Ir21a	CG2657	2L	21823	25155
FBgn0263584	asRNA:CR43609		2L	21952	24237
FBgn0051973	Cda5	CG2761	2L	25402	65404
FBgn0267987	lncRNA:CR46254		2L	54817	55767
FBgn0266878	lncRNA:CR45339		2L	65999	66242
FBgn0266879	lncRNA:CR45340		2L	66318	66524
FBgn0067779	dbr	CG11371	2L	66482	71390
FBgn0266322	asRNA:CR44987		2L	71039	73836
FBgn0031213	galectin	CG11372	2L	71757	76211
FBgn0031214	CG11374		2L	76348	77783
FBgn0002931	net	CG11450	2L	82421	87387
FBgn0031216	Zir	CG11376	2L	94739	102086
FBgn0031217	Creld	CG11377	2L	102380	104142
FBgn0026787	Nhe1	CG12178	2L	103962	106732
FBgn0005278	Sams	CG2674	2L	106903	114432
FBgn0031228	ND-15	CG11455	2L	114726	156030
FBgn0031219	CG13694		2L	115365	116488
FBgn0031220	CG4822		2L	116970	121754
FBgn0288229	CG3164		2L	122624	130791
FBgn0266304	asRNA:CR44969		2L	122837	124031
FBgn0001142	Gs1	CG2718	2L	132077	134472
FBgn0265074	lncRNA:CR44185		2L	135402	136128
FBgn0265075	lncRNA:CR44186		2L	136144	136701
FBgn0051975	CG31975	CG18501	2L	138384	140992
FBgn0051976	ovm	CG31976	2L	138384	140992
FBgn0051974	CG31974	CG18501	2L	141077	143091
FBgn0031224	CG11454		2L	143323	144227
FBgn0259818	CG42399	CG4648	2L	144231	153300
FBgn0031227	Pus10	CG3709	2L	153539	155305
FBgn0031229	CG3436		2L	156029	157666
FBgn0053635	CG33635		2L	157836	158664
FBgn0016977	spen	CG18497	2L	159032	203397
FBgn0031231	mRpL10	CG11488	2L	203779	204782
FBgn0031232	CG11617		2L	204743	207297
FBgn0031233	Tbc1d15-17	CG11490	2L	207179	210725
FBgn0266557	kis	CG3660	2L	210735	250823
FBgn0265151	lncRNA:CR44220		2L	219651	220050
FBgn0265153	lncRNA:CR44222		2L	223519	224708
FBgn0265152	lncRNA:CR44221		2L	228037	228588
FBgn0263465	snoRNA:CD66		2L	232170	232245
FBgn0031235	CG13693		2L	232487	234208
FBgn0262252	mir-965		2L	243035	243141
FBgn0265149	lncRNA:CR44218		2L	248909	249812
FBgn0283652	Rpp30	CG11606	2L	251039	252373
FBgn0031238	Dus1	CG3645	2L	252589	271744
FBgn0031239	CG17075		2L	259949	267505
FBgn0265150	lncRNA:CR44219		2L	262203	263003
FBgn0031240	CG3345		2L	269088	271626
FBgn0086912	mbm	CG11604	2L	271912	273715
FBgn0086856	CG11555		2L	273836	274766
FBgn0086855	CG17078		2L	274740	278234
FBgn0003444	smo	CG11561	2L	277582	282167
FBgn0031244	CG11601		2L	281670	283269
FBgn0031245	CG3625		2L	283385	291795
FBgn0267995	asRNA:CR46262		2L	283807	284255
FBgn0267996	asRNA:CR46263		2L	286383	288292
FBgn0025686	Amnionless	CG11592	2L	287252	289144
FBgn0031247	CG11562		2L	292419	293222
FBgn0017457	U2af38	CG3582	2L	292959	294681
FBgn0024352	Stip1	CG2720	2L	295122	297449
FBgn0020622	Pi3K21B	CG2699	2L	297880	305233
FBgn0004611	Plc21C	CG4574	2L	305935	355566
FBgn0263872	lncRNA:CR43719		2L	308537	309348
FBgn0031248	CG11912		2L	318362	319259
FBgn0031249	CG11911		2L	320279	321248
FBgn0053127	CG33127		2L	322101	323091
FBgn0264086	CG43755	CG31920	2L	325522	329761
FBgn0051921	CG31921		2L	329910	332335
FBgn0031250	Ent1	CG11907	2L	355565	357874
FBgn0266907	asRNA:CR45367		2L	355663	356891
FBgn0266906	asRNA:CR45366		2L	357329	358174
FBgn0000061	al	CG3935	2L	378112	387439
FBgn0263871	lncRNA:CR43718		2L	396120	396571
FBgn0031251	CG4213		2L	396595	402198
FBgn0003278	Polr1B	CG4033	2L	404285	407969
FBgn0264855	AP-2alpha	CG4260	2L	408030	414777
FBgn0263933	ebi	CG4063	2L	415067	418536
FBgn0031252	CG13690		2L	418434	419652
FBgn0002593	RpLP1	CG4087	2L	419952	420864
FBgn0031253	CG11885		2L	420895	421450
FBgn0031254	CG13692		2L	421771	422489
FBgn0031255	BBS8	CG13691	2L	422873	425321
FBgn0004583	ex	CG4114	2L	431227	448701
FBgn0263870	lncRNA:CR43717		2L	439539	440104
FBgn0015924	crq	CG4280	2L	448254	453024
