gene_id	chr	start	end	strand	length
gene:Zm00001eb000010	1	34617	40204	+	5588
gene:Zm00001eb000020	1	41214	46762	-	5549
gene:Zm00001eb000030	1	106148	106620	-	473
gene:Zm00001eb000040	1	107080	108196	-	1117
gene:Zm00001eb000050	1	108554	114382	-	5829
gene:Zm00001eb000060	1	188559	189581	-	1023
gene:Zm00001eb000070	1	190192	198832	-	8641
gene:Zm00001eb000080	1	200262	203393	-	3132
gene:Zm00001eb000090	1	205120	205505	+	386
gene:Zm00001eb000100	1	206619	209723	-	3105
gene:Zm00001eb000110	1	246422	247242	-	821
gene:Zm00001eb000120	1	315219	315846	+	628
gene:Zm00001eb000130	1	318880	320662	-	1783
gene:Zm00001eb000140	1	325307	326897	-	1591
gene:Zm00001eb000150	1	328087	328525	+	439
gene:Zm00001eb000160	1	459859	461337	+	1479
gene:Zm00001eb000170	1	550834	564766	-	13933
gene:Zm00001eb000180	1	551078	552061	+	984
gene:Zm00001eb000200	1	679957	680801	+	845
gene:Zm00001eb000190	1	679957	708016	-	28060
gene:Zm00001eb000210	1	1003108	1014318	+	11211
gene:Zm00001eb000220	1	1018151	1020839	+	2689
gene:Zm00001eb000230	1	1022421	1026593	+	4173
gene:Zm00001eb000240	1	1025166	1028066	-	2901
gene:Zm00001eb000250	1	1035114	1035395	+	282
gene:Zm00001eb000260	1	1056853	1057188	+	336
gene:Zm00001eb000270	1	1060487	1063436	-	2950
gene:Zm00001eb000280	1	1063552	1063857	-	306
gene:Zm00001eb000290	1	1186473	1190677	+	4205
gene:Zm00001eb000300	1	1198867	1200495	-	1629
gene:Zm00001eb000310	1	1201797	1210068	-	8272
gene:Zm00001eb000320	1	1217679	1222212	-	4534
gene:Zm00001eb000330	1	1222255	1227093	-	4839
gene:Zm00001eb000340	1	1483183	1523873	+	40691
gene:Zm00001eb000350	1	1498840	1499795	+	956
gene:Zm00001eb000360	1	1538240	1538884	+	645
gene:Zm00001eb000370	1	1601134	1602423	-	1290
gene:Zm00001eb000380	1	1706577	1707999	+	1423
gene:Zm00001eb000390	1	1807198	1809676	+	2479
gene:Zm00001eb000400	1	1824727	1826249	+	1523
gene:Zm00001eb000410	1	1825973	1827696	-	1724
gene:Zm00001eb000420	1	1832425	1834566	-	2142
gene:Zm00001eb000430	1	1929337	1930143	-	807
gene:Zm00001eb000440	1	1929358	1930319	+	962
gene:Zm00001eb000450	1	1932708	1933552	-	845
gene:Zm00001eb000460	1	2009997	2012200	-	2204
gene:Zm00001eb000470	1	2010318	2012354	+	2037
gene:Zm00001eb000480	1	2017706	2024879	-	7174
gene:Zm00001eb000490	1	2095539	2097445	+	1907
gene:Zm00001eb000500	1	2099970	2104244	-	4275
gene:Zm00001eb000510	1	2144815	2147163	-	2349
