rs chr ps
S1_1950 1 1950
S1_20433 1 20433
S1_20441 1 20441
S1_63880 1 63880
S1_68058 1 68058
S1_69121 1 69121
S1_79751 1 79751
S1_79848 1 79848
S1_80344 1 80344
S1_80439 1 80439
S1_111827 1 111827
S1_115385 1 115385
S1_115402 1 115402
S1_145767 1 145767
S1_145787 1 145787
S1_165944 1 165944
S1_166067 1 166067
S1_175165 1 175165
S1_175396 1 175396
S1_205610 1 205610
S1_205651 1 205651
S1_217818 1 217818
S1_247645 1 247645
S1_247647 1 247647
S1_247654 1 247654
S1_258333 1 258333
S1_282245 1 282245
S1_298324 1 298324
S1_298403 1 298403
S1_298437 1 298437
S1_301035 1 301035
S1_302071 1 302071
S1_310234 1 310234
S1_310261 1 310261
S1_310517 1 310517
S1_328543 1 328543
S1_330378 1 330378
S1_351312 1 351312
S1_351803 1 351803
S1_352931 1 352931
S1_364926 1 364926
S1_370573 1 370573
S1_375504 1 375504
S1_401685 1 401685
S1_410220 1 410220
S1_434076 1 434076
S1_551740 1 551740
S1_551801 1 551801
S1_565854 1 565854
S1_573453 1 573453
S1_583698 1 583698
S1_591035 1 591035
S1_657220 1 657220
S1_682695 1 682695
S1_682701 1 682701
S1_682705 1 682705
S1_682754 1 682754
S1_691574 1 691574
S1_695814 1 695814
S1_719324 1 719324
S1_721714 1 721714
S1_731775 1 731775
S1_733600 1 733600
S1_733664 1 733664
S1_745865 1 745865
S1_750012 1 750012
S1_758109 1 758109
S1_758110 1 758110
S1_759397 1 759397
S1_760375 1 760375
S1_772711 1 772711
S1_773991 1 773991
S1_778686 1 778686
S1_778701 1 778701
S1_778982 1 778982
S1_815888 1 815888
S1_815897 1 815897
S1_815914 1 815914
S1_815933 1 815933
S1_820236 1 820236
S1_820587 1 820587
S1_820731 1 820731
S1_820839 1 820839
S1_820846 1 820846
S1_820935 1 820935
S1_820939 1 820939
S1_820963 1 820963
S1_820994 1 820994
S1_821014 1 821014
S1_821019 1 821019
S1_821050 1 821050
S1_824067 1 824067
S1_829571 1 829571
S1_841834 1 841834
S1_841841 1 841841
S1_842282 1 842282
S1_853753 1 853753
S1_853949 1 853949
S1_874011 1 874011
S1_886243 1 886243
S1_900680 1 900680
S1_906856 1 906856
S1_907764 1 907764
S1_909172 1 909172
S1_911001 1 911001
S1_911518 1 911518
S1_911521 1 911521
S1_911982 1 911982
S1_912071 1 912071
S1_912118 1 912118
S1_914859 1 914859
S1_914872 1 914872
S1_924872 1 924872
S1_936125 1 936125
S1_936132 1 936132
S1_995020 1 995020
S1_995191 1 995191
S1_1004235 1 1004235
S1_1005220 1 1005220
S1_1005293 1 1005293
S1_1022376 1 1022376
S1_1033738 1 1033738
S1_1042225 1 1042225
S1_1042226 1 1042226
S1_1050129 1 1050129
S1_1054761 1 1054761
S1_1138736 1 1138736
S1_1140443 1 1140443
S1_1147460 1 1147460
S1_1147506 1 1147506
S1_1147519 1 1147519
S1_1147521 1 1147521
S1_1148272 1 1148272
S1_1163669 1 1163669
S1_1163788 1 1163788
S1_1163807 1 1163807
S1_1163826 1 1163826
S1_1163833 1 1163833
S1_1170175 1 1170175
S1_1170262 1 1170262
S1_1170767 1 1170767
S1_1191283 1 1191283
S1_1191381 1 1191381
S1_1191478 1 1191478
S1_1191483 1 1191483
S1_1191489 1 1191489
S1_1191490 1 1191490
S1_1191601 1 1191601
S1_1195807 1 1195807
S1_1197660 1 1197660
S1_1204210 1 1204210
S1_1204231 1 1204231
S1_1204242 1 1204242
S1_1205804 1 1205804
S1_1205821 1 1205821
S1_1206907 1 1206907
S1_1206993 1 1206993
S1_1209278 1 1209278
S1_1209576 1 1209576
S1_1209580 1 1209580
S1_1218675 1 1218675
S1_1218684 1 1218684
S1_1224424 1 1224424
S1_1256898 1 1256898
S1_1256904 1 1256904
